segmento,n_airbnb_precificados_F2,n_airbnb_principal_F3,n_airbnb_precificado_total_F3,cobertura_med_F3,nota_F3,n_vivareal_elegiveis_F2,diaria_anunciada_ajustada,preco_aquisicao_mediana,p25_preco,p75_preco,receita_50,rendimento_50,payback_50,receita_60,rendimento_60,payback_60,receita_75,rendimento_75,payback_75,ic_rend60_025,ic_rend60_975,rank_principal_60,rank_preco_p25,rank_preco_mediana,rank_preco_p75,rank_outliers_todos,n_vezes_em_primeiro,pior_posicao_observada,estabilidade_posicao,maior_proprietario_share,iqr_preco,cobertura_condo,cobertura_iptu
morretes | 2. apartamento (2q),51,24,27,0.7571428571428571,,1019,501.9688205778093,789550.0,680000.0,874647.5,91609.3097554502,0.1160272430567414,8.618665527637889,109931.17170654023,0.1392326916680897,7.182221273031574,137413.9646331753,0.1740408645851121,5.74577701842526,0.1287354171972023,0.1509979834563847,1,2,1,1,1,4,2,-1,0.1372549019607843,194647.5,0.7065750736015701,0.7232580961727183
centro | 2. apartamento (2q),65,37,40,0.7904761904761904,,87,711.2257918631248,1150000.0,873500.0,1533030.0,129798.70701502026,0.1128684408826263,8.859872539923856,155758.44841802432,0.1354421290591515,7.383227116603213,194698.0605225304,0.1693026613239394,5.90658169328257,0.1097722022518484,0.1577981055522694,2,1,2,3,2,1,3,-1,0.3076923076923077,659530.0,0.8160919540229885,0.8390804597701149
meia praia | 1. apartamento compacto (0-1q),28,17,18,0.7142857142857143,"N<20: somente descrição, sem inferência",55,534.7426506758833,875000.0,753000.0,1002503.5,97590.5337483487,0.1115320385695413,8.966033552560683,117108.64049801845,0.1338384462834496,7.471694627133902,146385.80062252303,0.167298057854312,5.977355701707122,0.1126467467430089,0.1435296278435518,3,3,3,2,3,0,3,0,0.1071428571428571,249503.5,0.6727272727272727,0.6
