fold,n_train,n_val,n_owners_train,n_owners_val,r2_train,r2_val,mae_val,no_overlap
1,414,79,280,70,0.6093301838158737,0.36664175635042207,0.2592576670173501,True
2,414,79,280,70,0.5733080229161833,0.6285140054812033,0.22035736829944472,True
3,414,79,280,70,0.5525504602100153,0.6279213943653843,0.277075267906989,True
4,313,180,280,70,0.6026230844454274,-0.8075210567164288,0.43822186894515497,True
5,417,76,280,70,0.6561933860192298,0.25965767943409446,0.310995868125935,True
