modelo,n,condition_number,r2_train,n_folds,r2_val_mean,r2_val_sd
M1_acionavel,493,23.037497931784593,0.5548824981951599,5,0.45349142503054496,0.16304729055381267
M2_ampliado,493,25.540104552774903,0.5880523895595803,5,0.21504275578293502,0.5314201244859736
