group,anuncios_inventario,anuncios_precificados,pct_precificado,pares_listing_data,mediana_cobertura_anuncio,mediana_simples_preco_anuncio,diaria_ajustada,ci_025,ci_975,bootstrap_reps_requested,bootstrap_reps_valid,ci_insuficiente,n_meses,n_datas,in_ranking,rank
1. apartamento compacto (0-1q),271,114,42.06642066420664,7960,0.7142857142857143,427.0,507.20574042892594,456.76793484713977,540.1736382042272,1000,1000,False,4,105,True,4.0
2. apartamento (2q),1312,333,25.38109756097561,19104,0.5619047619047619,464.0,542.1173007302375,522.2288395481988,564.9604764570078,1000,1000,False,4,105,True,3.0
3. apartamento (3q+),2127,464,21.814762576398685,26621,0.580952380952381,700.0,792.5270809094736,756.5736681446463,825.4604890796925,1000,1000,False,4,105,True,1.0
4. casa,443,70,15.801354401805868,3933,0.5333333333333333,500.0,624.6816332860689,501.8468063947658,866.3883779034472,1000,1000,False,4,105,True,2.0
hotel/outros,288,18,6.25,982,0.5380952380952382,155.0,203.20119402424365,170.7315184239866,237.57074861739767,1000,1000,False,4,102,False,
