bairro,perfil,n_bruto_dedup,n_sale_price_valido,n_area_pm2_validos,n_elegiveis_principal,n_elegiveis_sensibilidade,pct_elegivel_principal,mediana_sale,p25_sale,p75_sale,mediana_pm2,p25_pm2,p75_pm2,mediana_area,cobertura_condo,cobertura_iptu
sertao do trombudo,1. apartamento compacto (0-1q),2,2,2,2,2,100.0,950000.0,950000.0,950000.0,12258.574758574758,12219.03096903097,12298.118548118546,77.5,1.0,1.0
sertao do trombudo,2. apartamento (2q),7,7,7,7,7,100.0,680000.0,680000.0,766000.0,11147.540983606556,10141.405214317278,12628.983516483515,62.0,0.7142857142857143,0.7142857142857143
sertao do trombudo,3. apartamento (3q+),3,3,3,3,3,100.0,3000000.0,2225000.0,3337500.0,17253.521126760563,14203.68364030336,20254.667540124465,130.0,0.6666666666666666,0.3333333333333333
sertao do trombudo,4. casa,8,8,8,0,8,0.0,,,,,,,,,
sertao do trombudo,sem comparável,21,0,0,0,0,0.0,,,,,,,,,
sertaozinho,2. apartamento (2q),1,1,1,0,1,0.0,,,,,,,,,
taboleiro,2. apartamento (2q),1,1,1,0,1,0.0,,,,,,,,,
tabuleiro,1. apartamento compacto (0-1q),2,2,2,0,2,0.0,,,,,,,,,
tabuleiro,2. apartamento (2q),4,4,4,0,4,0.0,,,,,,,,,
tabuleiro dos oliveiras,1. apartamento compacto (0-1q),1,1,1,1,1,100.0,820000.0,820000.0,820000.0,12058.823529411764,12058.823529411764,12058.823529411764,68.0,0.0,0.0
tabuleiro dos oliveiras,2. apartamento (2q),105,105,105,101,105,96.19047619047619,780939.0,695000.0,848000.0,11575.797101449276,10571.42857142857,12700.0,69.0,0.7029702970297029,0.6534653465346535
tabuleiro dos oliveiras,3. apartamento (3q+),15,15,15,12,15,80.0,800000.0,763750.0,901040.0,11428.571428571428,10910.714285714286,12872.0,70.0,0.5833333333333334,0.6666666666666666
tabuleiro dos oliveiras,4. casa,5,5,5,0,5,0.0,,,,,,,,,
tabuleiro dos oliveiras,sem comparável,1,0,0,0,0,0.0,,,,,,,,,
varzea,2. apartamento (2q),29,29,29,28,29,96.55172413793103,644900.0,617500.0,680022.0,9371.428571428572,8835.42960662526,10171.519123134327,70.0,0.4642857142857143,0.6071428571428571
varzea,3. apartamento (3q+),3,3,3,2,3,66.66666666666667,741500.0,714750.0,768250.0,9883.035714285714,9855.803571428572,9910.267857142857,75.0,1.0,0.5
varzea,4. casa,4,4,4,0,4,0.0,,,,,,,,,
varzea,sem comparável,9,0,0,0,0,0.0,,,,,,,,,
