airbnb_listing_id,n_dates,coverage
1977915,67,0.638095238095238
2951220,85,0.8095238095238095
3263701,26,0.24761904761904763
3977675,55,0.5238095238095238
5443557,82,0.780952380952381
6569062,104,0.9904761904761905
8287843,78,0.7428571428571429
8838629,66,0.6285714285714286
8936081,27,0.2571428571428571
9327293,33,0.3142857142857143
9658725,10,0.09523809523809523
9784227,19,0.18095238095238095
10266012,58,0.5523809523809524
10340400,6,0.05714285714285714
10982940,75,0.7142857142857143
11044577,55,0.5238095238095238
11508986,13,0.12380952380952381
11567423,67,0.638095238095238
12067632,34,0.3238095238095238
12359560,51,0.4857142857142857
12490354,63,0.6
12931525,46,0.4380952380952381
13522176,32,0.3047619047619048
14872547,64,0.6095238095238096
14884678,42,0.4
15024197,18,0.17142857142857143
15500038,88,0.8380952380952381
15523493,58,0.5523809523809524
15549803,45,0.42857142857142855
15732070,63,0.6
15754075,37,0.3523809523809524
15791567,35,0.3333333333333333
15909831,78,0.7428571428571429
15934309,70,0.6666666666666666
15980018,22,0.20952380952380953
15980108,39,0.37142857142857144
16017693,36,0.34285714285714286
16105751,31,0.29523809523809524
16177778,92,0.8761904761904762
16253828,73,0.6952380952380952
16270332,54,0.5142857142857142
16321793,74,0.7047619047619048
16350860,65,0.6190476190476191
16451544,31,0.29523809523809524
16527828,87,0.8285714285714286
16570256,47,0.44761904761904764
16586622,80,0.7619047619047619
16618715,88,0.8380952380952381
16644316,67,0.638095238095238
16662563,62,0.5904761904761905
16730935,89,0.8476190476190476
16992951,71,0.6761904761904762
17013106,59,0.5619047619047619
17034886,46,0.4380952380952381
17294276,47,0.44761904761904764
17511306,62,0.5904761904761905
17570590,68,0.6476190476190476
18395333,64,0.6095238095238096
18505349,30,0.2857142857142857
18506998,20,0.19047619047619047
18735821,44,0.41904761904761906
20555680,19,0.18095238095238095
20618105,44,0.41904761904761906
20863370,18,0.17142857142857143
20943549,65,0.6190476190476191
21025393,36,0.34285714285714286
21077682,57,0.5428571428571428
21091876,91,0.8666666666666667
21103486,66,0.6285714285714286
21103807,71,0.6761904761904762
21280090,64,0.6095238095238096
21295667,53,0.5047619047619047
21324331,34,0.3238095238095238
21397811,68,0.6476190476190476
21436592,67,0.638095238095238
21454457,15,0.14285714285714285
21545686,72,0.6857142857142857
21552865,29,0.2761904761904762
21607605,47,0.44761904761904764
21632405,53,0.5047619047619047
21662762,36,0.34285714285714286
21695053,82,0.780952380952381
21734892,68,0.6476190476190476
21743476,56,0.5333333333333333
21780661,63,0.6
22047595,60,0.5714285714285714
22190101,46,0.4380952380952381
22191680,80,0.7619047619047619
22223346,28,0.26666666666666666
22231120,80,0.7619047619047619
22243318,52,0.49523809523809526
22245880,72,0.6857142857142857
22306996,30,0.2857142857142857
22307401,27,0.2571428571428571
22335276,67,0.638095238095238
22383070,40,0.38095238095238093
22421016,9,0.08571428571428572
22421421,56,0.5333333333333333
22421606,47,0.44761904761904764
22428497,40,0.38095238095238093
22514231,36,0.34285714285714286
22648075,65,0.6190476190476191
22739656,74,0.7047619047619048
